"id","id_github.covid19euzh.covid19eudata","administrative_area_level","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","key_nuts","key_gadm"
"30a32e9f","PL51",2,"Dolnoslaskie",,,,,"PL51","POL.1_1"
"850d50d2","PL81",2,"Lubelskie",,,,,"PL81","POL.4_1"
"1c040168","PL82",2,"Podkarpackie",,,,,"PL82","POL.9_1"
"29b81fde","PL41",2,"Wielkopolskie",,,,,"PL41","POL.15_1"
"051f3029","PL92",2,"Mazowiecki regionalny",,,,,"PL92",
"e6ebe9e2","PL22",2,"Slaskie",,,,,"PL22","POL.12_1"
"9b9c1da7","PL72",2,"Swietokrzyskie",,,,,"PL72","POL.13_1"
"b0b14e64","PL42",2,"Zachodniopomorskie",,,,,"PL42","POL.16_1"
"9c166193","PL91",2,"Warszawski stoleczny",,,,,"PL91",
"7fe2b858","PL21",2,"Malopolskie",,,,,"PL21","POL.6_1"
"02954c1d","PL71",2,"LÃ³dzkie",,,,,"PL71","POL.3_1"
"a9aa7f25","PL52",2,"Opolskie",,,,,"PL52","POL.8_1"
"1b8e7d5c","PL61",2,"Kujawsko-pomorskie",,,,,"PL61","POL.2_1"
"82872ce6","PL62",2,"Warminsko-mazurskie",,,,,"PL62","POL.14_1"
"f567a45d","PL84",2,"Podlaskie",,,,,"PL84","POL.10_1"
"f5801c70","PL63",2,"Pomorskie",,,,,"PL63","POL.11_1"
"c7b67ef2","PL43",2,"Lubuskie",,,,,"PL43","POL.5_1"
"8dda726a","PL9",2,"Mazowieckie",,,,,"PL9","POL.7_1"
